# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2024-04-01T00:00:00.0
# Date end (ISO 8601): 2025-04-01T00:00:00.0
# Latitude (positive North, ISO 19115): 27.8974
# Longitude (positive East, ISO 19115): 78.0880
# Altitude (m): 191.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-04-25
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI/DNI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2024-04-01T00:00:00.0/2024-04-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T01:00:00.0/2024-04-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T02:00:00.0/2024-04-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T03:00:00.0/2024-04-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T04:00:00.0/2024-04-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T05:00:00.0/2024-04-01T06:00:00.0;4.2783;1.0084;0.0419;0.9665;1.1961
2024-04-01T06:00:00.0/2024-04-01T07:00:00.0;208.4066;93.6864;33.4728;60.2136;175.5440
2024-04-01T07:00:00.0/2024-04-01T08:00:00.0;510.7925;314.3461;181.0223;133.3239;472.9618
2024-04-01T08:00:00.0/2024-04-01T09:00:00.0;781.8998;544.5200;366.5535;177.9666;636.7341
2024-04-01T09:00:00.0/2024-04-01T10:00:00.0;1003.2667;738.3422;529.7160;208.6262;719.5072
2024-04-01T10:00:00.0/2024-04-01T11:00:00.0;1159.8226;876.7234;647.7211;229.0023;761.7770
2024-04-01T11:00:00.0/2024-04-01T12:00:00.0;1240.9150;945.2409;697.9662;247.2747;767.5046
2024-04-01T12:00:00.0/2024-04-01T13:00:00.0;1241.0360;936.1654;668.0997;268.0657;734.3959
2024-04-01T13:00:00.0/2024-04-01T14:00:00.0;1160.1970;853.4645;575.1466;278.3179;675.7321
2024-04-01T14:00:00.0/2024-04-01T15:00:00.0;1003.9278;704.2338;434.1292;270.1047;588.3898
2024-04-01T15:00:00.0/2024-04-01T16:00:00.0;782.8984;502.9088;267.5647;235.3441;462.1379
2024-04-01T16:00:00.0/2024-04-01T17:00:00.0;512.1915;274.0218;105.8505;168.1713;271.4299
2024-04-01T17:00:00.0/2024-04-01T18:00:00.0;210.2734;77.5260;12.8902;64.6358;64.4095
2024-04-01T18:00:00.0/2024-04-01T19:00:00.0;4.6307;0.9906;0.0231;0.9675;0.5701
2024-04-01T19:00:00.0/2024-04-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T20:00:00.0/2024-04-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T21:00:00.0/2024-04-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T22:00:00.0/2024-04-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-01T23:00:00.0/2024-04-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T00:00:00.0/2024-04-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T01:00:00.0/2024-04-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T02:00:00.0/2024-04-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T03:00:00.0/2024-04-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T04:00:00.0/2024-04-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T05:00:00.0/2024-04-02T06:00:00.0;5.0030;1.2495;0.0723;1.1773;2.1476
2024-04-02T06:00:00.0/2024-04-02T07:00:00.0;212.4671;103.4666;47.9379;55.5287;255.5938
2024-04-02T07:00:00.0/2024-04-02T08:00:00.0;514.5051;331.7923;220.0665;111.7258;573.1912
2024-04-02T08:00:00.0/2024-04-02T09:00:00.0;785.2994;561.7638;415.8901;145.8737;720.0042
2024-04-02T09:00:00.0/2024-04-02T10:00:00.0;1006.4097;751.2697;576.3206;174.9491;780.2943
2024-04-02T10:00:00.0/2024-04-02T11:00:00.0;1162.7828;885.4920;687.7381;197.7539;806.4514
2024-04-02T11:00:00.0/2024-04-02T12:00:00.0;1243.7791;952.5769;734.4023;218.1746;805.2375
2024-04-02T12:00:00.0/2024-04-02T13:00:00.0;1243.8970;946.0927;708.7347;237.3579;776.8513
2024-04-02T13:00:00.0/2024-04-02T14:00:00.0;1163.1488;866.6909;621.1833;245.5075;727.6965
2024-04-02T14:00:00.0/2024-04-02T15:00:00.0;1007.0579;724.3972;491.4520;232.9452;664.5446
2024-04-02T15:00:00.0/2024-04-02T16:00:00.0;786.2827;534.6370;339.6465;194.9905;586.1707
2024-04-02T16:00:00.0/2024-04-02T17:00:00.0;515.8885;310.8512;168.8974;141.9537;437.0245
2024-04-02T17:00:00.0/2024-04-02T18:00:00.0;214.3204;95.4224;31.7073;63.7151;161.4628
2024-04-02T18:00:00.0/2024-04-02T19:00:00.0;5.4005;1.2926;0.0357;1.2569;0.9110
2024-04-02T19:00:00.0/2024-04-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T20:00:00.0/2024-04-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T21:00:00.0/2024-04-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T22:00:00.0/2024-04-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-02T23:00:00.0/2024-04-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T00:00:00.0/2024-04-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T01:00:00.0/2024-04-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T02:00:00.0/2024-04-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T03:00:00.0/2024-04-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T04:00:00.0/2024-04-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T05:00:00.0/2024-04-03T06:00:00.0;5.7818;1.4509;0.0879;1.3630;2.3370
2024-04-03T06:00:00.0/2024-04-03T07:00:00.0;216.4972;103.0844;44.7498;58.3345;234.8833
2024-04-03T07:00:00.0/2024-04-03T08:00:00.0;518.1746;327.3445;206.2951;121.0494;532.9752
2024-04-03T08:00:00.0/2024-04-03T09:00:00.0;788.6442;555.9752;396.5307;159.4444;682.6389
2024-04-03T09:00:00.0/2024-04-03T10:00:00.0;1009.4880;747.8678;561.4731;186.3948;757.2294
2024-04-03T10:00:00.0/2024-04-03T11:00:00.0;1165.6713;884.6660;679.6257;205.0402;794.4185
2024-04-03T11:00:00.0/2024-04-03T12:00:00.0;1246.5674;954.9122;737.4868;217.4254;806.2955
2024-04-03T12:00:00.0/2024-04-03T13:00:00.0;1246.6821;952.8785;728.6865;224.1920;796.5281
2024-04-03T13:00:00.0/2024-04-03T14:00:00.0;1166.0280;878.1683;655.2559;222.9125;765.4724
2024-04-03T14:00:00.0/2024-04-03T15:00:00.0;1010.1221;737.2333;526.8885;210.3447;709.7427
2024-04-03T15:00:00.0/2024-04-03T16:00:00.0;789.6105;542.4409;359.3857;183.0552;617.0862
2024-04-03T16:00:00.0/2024-04-03T17:00:00.0;519.5410;313.8046;177.1942;136.6103;454.9186
2024-04-03T17:00:00.0/2024-04-03T18:00:00.0;218.3361;96.5189;34.9515;61.5675;179.7052
2024-04-03T18:00:00.0/2024-04-03T19:00:00.0;6.2034;1.4706;0.0755;1.3951;2.0330
2024-04-03T19:00:00.0/2024-04-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T20:00:00.0/2024-04-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T21:00:00.0/2024-04-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T22:00:00.0/2024-04-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-03T23:00:00.0/2024-04-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T00:00:00.0/2024-04-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T01:00:00.0/2024-04-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T02:00:00.0/2024-04-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T03:00:00.0/2024-04-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T04:00:00.0/2024-04-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T05:00:00.0/2024-04-04T06:00:00.0;6.6239;1.5517;0.0743;1.4774;1.8852
2024-04-04T06:00:00.0/2024-04-04T07:00:00.0;220.4958;95.4809;32.7740;62.7068;166.4315
2024-04-04T07:00:00.0/2024-04-04T08:00:00.0;521.7994;309.8935;170.0129;139.8806;434.0667
2024-04-04T08:00:00.0/2024-04-04T09:00:00.0;791.9329;535.8397;346.9121;188.9275;593.7390
2024-04-04T09:00:00.0/2024-04-04T10:00:00.0;1012.5011;727.1398;505.9984;221.1414;679.7502
2024-04-04T10:00:00.0/2024-04-04T11:00:00.0;1168.4883;864.2278;622.6583;241.5694;725.5765
2024-04-04T11:00:00.0/2024-04-04T12:00:00.0;1249.2812;935.4375;682.8854;252.5521;744.5273
2024-04-04T12:00:00.0/2024-04-04T13:00:00.0;1249.3931;935.1158;680.3851;254.7307;741.7015
2024-04-04T13:00:00.0/2024-04-04T14:00:00.0;1168.8363;862.5302;614.4531;248.0770;715.6788
2024-04-04T14:00:00.0/2024-04-04T15:00:00.0;1013.1223;724.3245;493.5606;230.7639;662.4384
2024-04-04T15:00:00.0/2024-04-04T16:00:00.0;792.8836;532.8317;333.6725;199.1592;570.0229
2024-04-04T16:00:00.0/2024-04-04T17:00:00.0;523.1495;307.6991;160.9128;146.7863;409.3280
2024-04-04T17:00:00.0/2024-04-04T18:00:00.0;222.3202;95.2257;30.3274;64.8983;152.5782
2024-04-04T18:00:00.0/2024-04-04T19:00:00.0;7.0937;1.6686;0.0758;1.5928;1.9730
2024-04-04T19:00:00.0/2024-04-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T20:00:00.0/2024-04-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T21:00:00.0/2024-04-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T22:00:00.0/2024-04-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T23:00:00.0/2024-04-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T00:00:00.0/2024-04-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
