,period,TOA,GHI,BHI,DHI,BNI,start,end,DNI,cos_zenith,zenith_rad,zenith_deg,day_of_year,I0n,Kt,Kd,Kn,G0h,k_test,individual_limit_test,night_time_test
0,2024-04-01T00:00:00.0/2024-04-01T01:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 00:00:00,2024-04-01 01:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
1,2024-04-01T01:00:00.0/2024-04-01T02:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 01:00:00,2024-04-01 02:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
2,2024-04-01T02:00:00.0/2024-04-01T03:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 02:00:00,2024-04-01 03:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
3,2024-04-01T03:00:00.0/2024-04-01T04:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 03:00:00,2024-04-01 04:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
4,2024-04-01T04:00:00.0/2024-04-01T05:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 04:00:00,2024-04-01 05:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
5,2024-04-01T05:00:00.0/2024-04-01T06:00:00.0,4.2783,1.0084,0.0419,0.9665,1.1961,2024-04-01 05:00:00,2024-04-01 06:00:00,1.1961,0.035030515843156876,1.5357586424519163,87.99248856323563,92,1366.4176036337603,0.02106700779740404,0.9584490281634273,0.0008753546476707933,47.86631351246089,Passed,Passed,Failed
6,2024-04-01T06:00:00.0/2024-04-01T07:00:00.0,208.4066,93.6864,33.4728,60.2136,175.544,2024-04-01 06:00:00,2024-04-01 07:00:00,175.544,0.19068039921615096,1.37894111046348,79.00750582664044,92,1366.4176036337603,0.3595729806165282,0.6427144174608054,0.12847024184493083,260.54905415686176,Passed,Passed,Passed
7,2024-04-01T07:00:00.0/2024-04-01T08:00:00.0,510.7925,314.3461,181.0223,133.3239,472.9618,2024-04-01 07:00:00,2024-04-01 08:00:00,472.9618,0.3827416928809049,1.1780341835446135,67.49638683924613,92,1366.4176036337603,0.6010614222889394,0.4241309181185961,0.3461326894078624,522.9849867970548,Passed,Passed,Passed
8,2024-04-01T08:00:00.0/2024-04-01T09:00:00.0,781.8998,544.52,366.5535,177.9666,636.7341,2024-04-01 08:00:00,2024-04-01 09:00:00,636.7341,0.5756773510324011,0.9573640354221024,54.852918687299514,92,1366.4176036337603,0.6922313185647345,0.3268320722838463,0.46598792221844304,786.6156664639246,Passed,Passed,Passed
9,2024-04-01T09:00:00.0/2024-04-01T10:00:00.0,1003.2667,738.3422,529.716,208.6262,719.5072,2024-04-01 09:00:00,2024-04-01 10:00:00,719.5072,0.7362205687448298,0.7433278145166529,42.5895465664875,92,1366.4176036337603,0.7339496980016451,0.282560308756563,0.5265646447225141,1005.9847452901944,Passed,Passed,Passed
10,2024-04-01T10:00:00.0/2024-04-01T11:00:00.0,1159.8226,876.7234,647.7211,229.0023,761.777,2024-04-01 10:00:00,2024-04-01 11:00:00,761.777,0.8502765244947011,0.5542858795857196,31.758241543958288,92,1366.4176036337603,0.7546037533797202,0.26120244994031183,0.5574994042627823,1161.8328110260918,Passed,Passed,Passed
11,2024-04-01T11:00:00.0/2024-04-01T12:00:00.0,1240.915,945.2409,697.9662,247.2747,767.5046,2024-04-01 11:00:00,2024-04-01 12:00:00,767.5046,0.9093967645275352,0.4289649026216773,24.577878479462452,92,1366.4176036337603,0.7606864002171753,0.26159966205440327,0.5616910949909817,1242.6157477380095,Passed,Passed,Passed
12,2024-04-01T12:00:00.0/2024-04-01T13:00:00.0,1241.036,936.1654,668.0997,268.0657,734.3959,2024-04-01 12:00:00,2024-04-01 13:00:00,734.3959,0.9097268925384796,0.42817050158551134,24.532362652849322,92,1366.4176036337603,0.7531094624411716,0.28634437888860237,0.5374608011833251,1243.0668404636167,Passed,Passed,Passed
13,2024-04-01T13:00:00.0/2024-04-01T14:00:00.0,1160.197,853.4645,575.1466,278.3179,675.7321,2024-04-01 13:00:00,2024-04-01 14:00:00,675.7321,0.8511458905089755,0.5526319380004604,31.663477671561758,92,1366.4176036337603,0.7338342984045618,0.3261036633626823,0.49452824539365037,1163.0207280519971,Passed,Passed,Passed
14,2024-04-01T14:00:00.0/2024-04-01T15:00:00.0,1003.9278,704.2338,434.1292,270.1047,588.3898,2024-04-01 14:00:00,2024-04-01 15:00:00,588.3898,0.7378256727088063,0.740952932438242,42.453475846553296,92,1366.4176036337603,0.6985213014567898,0.3835440730053002,0.4306075964150895,1008.1779876022342,Passed,Passed,Passed
15,2024-04-01T15:00:00.0/2024-04-01T16:00:00.0,782.8984,502.9088,267.5647,235.3441,462.1379,2024-04-01 15:00:00,2024-04-01 16:00:00,462.1379,0.5789715580565887,0.9533295556161228,54.62176002188612,92,1366.4176036337603,0.6356946509526175,0.46796576238077364,0.33821131897819606,791.1169289317885,Passed,Passed,Passed
16,2024-04-01T16:00:00.0/2024-04-01T17:00:00.0,512.1915,274.0218,105.8505,168.1713,271.4299,2024-04-01 16:00:00,2024-04-01 17:00:00,271.4299,0.38997361749755644,1.1701933851759738,67.04714218471001,92,1366.4176036337603,0.5142406917129256,0.613715040190233,0.1986434449308742,532.8668159013997,Passed,Passed,Passed
17,2024-04-01T17:00:00.0/2024-04-01T18:00:00.0,210.2734,77.526,12.8902,64.6358,64.4095,2024-04-01 17:00:00,2024-04-01 18:00:00,64.4095,0.20012886297828728,1.3693068840122387,78.45550531211101,92,1366.4176036337603,0.2835007423837417,0.8337306194051028,0.047137492834338234,273.4596013687405,Passed,Passed,Passed
18,2024-04-01T18:00:00.0/2024-04-01T19:00:00.0,4.6307,0.9906,0.0231,0.9675,0.5701,2024-04-01 18:00:00,2024-04-01 19:00:00,0.5701,0.040519207156639196,1.5302660239914545,87.67778470697552,92,1366.4176036337603,0.017891795941482627,0.9766807995154452,0.00041722237658817766,55.36615794411484,Passed,Passed,Failed
19,2024-04-01T19:00:00.0/2024-04-01T20:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 19:00:00,2024-04-01 20:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
20,2024-04-01T20:00:00.0/2024-04-01T21:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 20:00:00,2024-04-01 21:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
21,2024-04-01T21:00:00.0/2024-04-01T22:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 21:00:00,2024-04-01 22:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
22,2024-04-01T22:00:00.0/2024-04-01T23:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 22:00:00,2024-04-01 23:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
23,2024-04-01T23:00:00.0/2024-04-02T00:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-01 23:00:00,2024-04-02 00:00:00,0.0,,,,92,1366.4176036337603,,,0.0,,Failed,Passed,Failed
24,2024-04-02T00:00:00.0/2024-04-02T01:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 00:00:00,2024-04-02 01:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
25,2024-04-02T01:00:00.0/2024-04-02T02:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 01:00:00,2024-04-02 02:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
26,2024-04-02T02:00:00.0/2024-04-02T03:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 02:00:00,2024-04-02 03:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
27,2024-04-02T03:00:00.0/2024-04-02T04:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 03:00:00,2024-04-02 04:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
28,2024-04-02T04:00:00.0/2024-04-02T05:00:00.0,0.0,0.0,0.0,0.0,0.0,2024-04-02 04:00:00,2024-04-02 05:00:00,0.0,,,,93,1365.6412429280513,,,0.0,,Failed,Passed,Failed
29,2024-04-02T05:00:00.0/2024-04-02T06:00:00.0,5.003,1.2495,0.0723,1.1773,2.1476,2024-04-02 05:00:00,2024-04-02 06:00:00,2.1476,0.03361892344943194,1.5371710672584478,88.07341454352947,93,1365.6412429280513,0.027215469699309686,0.9422168867547018,0.0015725945676591919,45.91138840538524,Passed,Passed,Failed
30,2024-04-02T06:00:00.0/2024-04-02T07:00:00.0,212.4671,103.4666,47.9379,55.5287,255.5938,2024-04-02 06:00:00,2024-04-02 07:00:00,255.5938,0.18755501894020904,1.3821239279786917,79.1898678372224,93,1365.6412429280513,0.4039567445212031,0.5366823689963718,0.18716028189950173,256.1328691829013,Passed,Passed,Passed
31,2024-04-02T07:00:00.0/2024-04-02T08:00:00.0,514.5051,331.7923,220.0665,111.7258,573.1912,2024-04-02 07:00:00,2024-04-02 08:00:00,573.1912,0.38393209805035394,1.1767453201566285,67.42254040674565,93,1365.6412429280513,0.6328128022687861,0.33673415567510157,0.41972311759641145,524.3135075814598,Passed,Passed,Passed
32,2024-04-02T08:00:00.0/2024-04-02T09:00:00.0,785.2994,561.7638,415.8901,145.8737,720.0042,2024-04-02 08:00:00,2024-04-02 09:00:00,720.0042,0.5776217694285672,0.9549840604920663,54.7165561684615,93,1365.6412429280513,0.7121534345404039,0.25967087946927164,0.5272279258762349,788.8241111447288,Passed,Passed,Passed
33,2024-04-02T09:00:00.0/2024-04-02T10:00:00.0,1006.4097,751.2697,576.3206,174.9491,780.2943,2024-04-02 09:00:00,2024-04-02 10:00:00,780.2943,0.7385938869475274,0.7398141135634569,42.38822633139827,93,1365.6412429280513,0.744823790987428,0.2328712311969989,0.5713757577553695,1008.6542737900819,Passed,Passed,Passed
34,2024-04-02T10:00:00.0/2024-04-02T11:00:00.0,1162.7828,885.492,687.7381,197.7539,806.4514,2024-04-02 10:00:00,2024-04-02 11:00:00,806.4514,0.8527954691380039,0.5494814074002896,31.482965564945154,93,1365.6412429280513,0.7603317626878467,0.2233265800255677,0.5905294704419585,1164.6126644370343,Passed,Passed,Passed
35,2024-04-02T11:00:00.0/2024-04-02T12:00:00.0,1243.7791,952.5769,734.4023,218.1746,805.2375,2024-04-02 11:00:00,2024-04-02 12:00:00,805.2375,0.9120319160496128,0.42258479014467365,24.212324961711385,93,1365.6412429280513,0.7648096957358904,0.22903620694560198,0.5896405839893222,1245.5083994240454,Passed,Passed,Passed
36,2024-04-02T12:00:00.0/2024-04-02T13:00:00.0,1243.897,946.0927,708.7347,237.3579,776.8513,2024-04-02 12:00:00,2024-04-02 13:00:00,776.8513,0.9123171963540513,0.42188864790789704,24.17243894960329,93,1365.6412429280513,0.7593661018909431,0.25088228669347096,0.5688545978110361,1245.8979899735816,Passed,Passed,Passed
37,2024-04-02T13:00:00.0/2024-04-02T14:00:00.0,1163.1488,866.6909,621.1833,245.5075,727.6965,2024-04-02 13:00:00,2024-04-02 14:00:00,727.6965,0.8536297756001301,0.5478817792259967,31.391313621767953,93,1365.6412429280513,0.7434607698449186,0.2832699639513926,0.532860664371674,1165.7520277509552,Passed,Passed,Passed
38,2024-04-02T14:00:00.0/2024-04-02T15:00:00.0,1007.0579,724.3972,491.452,232.9452,664.5446,2024-04-02 14:00:00,2024-04-02 15:00:00,664.5446,0.7395320043229605,0.7384214961763249,42.30843523263907,93,1365.6412429280513,0.7172708234662808,0.3215710938694959,0.48661726016355483,1009.9354055686808,Passed,Passed,Passed
39,2024-04-02T15:00:00.0/2024-04-02T16:00:00.0,786.2827,534.637,339.6465,194.9905,586.1707,2024-04-02 15:00:00,2024-04-02 16:00:00,586.1707,0.5794327488562631,0.9527638050054335,54.58934489963667,93,1365.6412429280513,0.6756462172572905,0.36471568559602124,0.4292274439099394,791.2972593412844,Passed,Passed,Passed
40,2024-04-02T16:00:00.0/2024-04-02T17:00:00.0,515.8885,310.8512,168.8974,141.9537,437.0245,2024-04-02 16:00:00,2024-04-02 17:00:00,437.0245,0.38647146784676834,1.1739936058756946,67.26487879202226,93,1365.6412429280513,0.5889772059195799,0.4566612578622826,0.3200141342121319,527.7813757064891,Passed,Passed,Passed
